CompanyName,Website,Linkedin,Description,Industry,DurationInRole,Status,Notes,Search account,Website,EmplyeeCount,Fullname,schoolname,schoolname2,schoolname3,CompanyName,CompanyName2,CompanyName3,Owner,Created
Reveeld,www.reveeld.fr,https://www.linkedin.com/in/ACwAABQrddEBLqlXCCU4tdZPwK8xdQKySOy2T-c/,REVEELD is the first dating app made by and for the LGBTQIA+ community for serious relationship.,Dimitri P.,Software Development,,4,,,,,,,,,,2025-10-22,,
Mentoria,http://linkedin.com/company/mentorai-limited,https://www.linkedin.com/in/ACwAAAvhqskBoG2lfiKVqUu_gk1iwpGkq-WfUzU/,"🚀 Mentoria – Ton Mentor virtuel au service de ton avenir 🚀

Faire les bons choix en matière d’orientation et de carrière n’a jamais été aussi complexe…
Que tu souhaites évoluer personnellement ou professionnellement, Mentoria est là pour te guider de l’introspection à l'exploration d'informations. 

🎯 Notre mission
S’immiscer dans les habitudes des futurs générations pour leurs permettre d'évoluer personnellement et professionnellement.  ",Collette Brown,Software Development,,3,,,,,,,,,,2025-10-22,,
VertiQual®,none.vertiqual®,https://www.linkedin.com/in/ACwAADaIxSoBwpfm4eTmFL0rgsqguXnWwU8rEdY/,"Optimiser la performance, saisir de nouvelles opportunités et accélérer la transition écologique sont des enjeux clés pour les acteurs de la durabilité et de l’environnement.

Chez VertiQual®, filiale d’upgreen®, nous apportons l’expertise et les technologies nécessaires pour transformer les organisations face aux défis environnementaux. Adopter une approche data-driven, exploiter le potentiel de l’IA et des solutions digitales, anticiper les nouvelles réglementations et accélérer la transition vers des modèles durables sont les clés du succès pour les leaders de demain.

Nous aidons nos clients à intégrer l’innovation au cœur de leur stratégie environnementale, à optimiser leurs ressources et à prendre des décisions plus intelligentes et durables.

🌱 VertiQual® - Là où la technologie rencontre la durabilité.

Optimizing performance, seizing new opportunities, and accelerating the ecological transition are critical for organizations operating in sustainability and environmental sectors.

At VertiQual®, part of upgreen®, we provide the expertise and technology to help businesses navigate environmental challenges. Adopting a data-driven approach, leveraging AI and digital solutions, anticipating new regulations, and transitioning towards sustainable models are essential for tomorrow’s leaders.

We empower our clients to integrate innovation into their sustainability strategies, optimize resource management, and make smarter, more impactful decisions.

🌱 VertiQual® - Where technology meets sustainability.",Billel MAATI,Software Development,,,,,,,,,,,,2025-10-22,,
FAUME,http://www.faume.co,https://www.linkedin.com/in/ACwAABe6X-kBq-83CGeFJIGHSvPGDLX7kLNP-8o/,"🇬🇧 FAUME: Your One-Stop-Shop Resale Solution!

We empower fashion and luxury brands with technology and logistics for profitable, sustainable secondhand programs

Our Vision : To lead in sustainable fashion by pioneering circular commerce.

Our Mission : To be the go-to Resale technology partner for fashion brands seeking to unlock profitable secondhand markets.

What We Provide : At FAUME, we provide a Resale solution designed to create exceptional secondhand shopping experiences for both sellers and buyers, helping brands to unlock new market opportunities while significantly decarbonizing revenue streams and  aligning operations with sustainability goals

Start your Resale journey: Learn more about FAUME's solution and book a demo today!


🇫🇷 FAUME: Votre solution de seconde main tout-en-un!

FAUME fournit aux marques de mode et de luxe les moyens technologiques et logistiques de mettre en place des programmes de seconde main rentables et durables

Notre vision : Être leader de la mode durable en innovant dans le commerce circulaire

Notre mission : Être le partenaire technologique de référence pour les marques de mode souhaitant exploiter de manière rentable leur marché de la seconde main

What We Provide : Nous proposons la seule solution tout-en-un de seconde main sur le marché. 
Chez FAUME, nous proposons une solution de seconde main conçue pour créer des expériences de revente exceptionnelles pour les vendeurs et les acheteurs, aidant les marques à débloquer de nouvelles opportunités de marché tout en décarbonisant de manière significative les flux de revenus et en alignant les opérations sur les objectifs de durabilité.

Entrez dans le marché de la seconde main: Découvrez la solution FAUME et demandez une démonstration dès aujourd'hui! ",Jules Pastor,Software Development,,46,,,,,,,,,,2025-10-22,,
REVELIO HR TECHNOLOGY,none.reveliohrtechnology,https://www.linkedin.com/in/ACwAAA4TtgIBb16JOSmGRHyyhQpToPUrxtnI3JU/,"At Revelio HR Technology, we’re reinventing how companies hire for low- or non-qualified roles — by focusing on what truly matters: soft skills, values, and human compatibility.

🎯 Our mission? To help companies recruit faster, fairer, and more humanely.
Our platform combines AI and behavioral assessments to reveal the true potential of each candidate — beyond their CV.

🧪 Every applicant goes through three predictive tests:
• The BUSE test (Universal Soft Skills Assessment): evaluates stress management, teamwork, reliability, motivation…
• A cultural fit test to align personal values with the company’s.
• A manager compatibility test, based on leadership style and communication preferences.

✨ Bonus? A gamified, immersive journey that boosts candidate engagement — especially for people less comfortable with digital tools.
Recruiters get a clear dashboard with scores, rankings, and relevant job data (availability, location, contract preferences…).

💼 Our clients include SMEs and large companies in logistics, hospitality, transportation, retail, and personal services.

💡 Say goodbye to random hiring. Revelio makes every recruitment a meaningful match based on human-driven data.

Launching soon
🤝 Pilot partnerships welcome – Let’s reshape recruitment together.",Arthur Degot,Software Development,,2,,,,,,,,,,2025-10-22,,
Felix Technologies ApS,www.onfelix.com,https://www.linkedin.com/in/ACwAAA4KPTIBNh6nfZhozy90ziSE2IJU3D5czKs/,"Felix is an AI-powered Operating System that transforms real estate operations by centralizing data, automating workflows, and seamlessly integrating with your existing systems. Purpose-built for medium to large property portfolios, Felix replaces up to six separate software tools—streamlining your operations and freeing your team to focus on what matters.",Jordane P.,Software Development,,3,,,,,,,,,,2025-10-22,,
Gradient,,https://www.linkedin.com/in/ACwAACNpzAQBVuTBtImCtunXnNX0rwaItKTd7Ek/,,Alexandre Sauvage,Software Development,,,,,,,,,,,,2025-10-22,,
Lobby-b,https://lobby-b.com/,https://www.linkedin.com/in/ACwAACHK3hgB-ypasyQb5tAMXJ9Z7lJ-YCPn1l0/,,Léopold G.,Software Development,,0,,,,,,,,,,2025-10-22,,
PROTO,https://proto.builders,https://www.linkedin.com/in/ACwAAB_tLI0BaISiUl3AxxammlaHwfltLwSP87o/,"Nous développons une première version de votre produit en 2 semaines, à un prix fixe.
1. Nous décomposons votre produit en 3 à 4 briques de fonctionnalités essentielles. 
2. L'IA booste le développement 
3. Nos développeurs assurent la fiabilité et déploient le produit
Pas d’intermédiaires inutiles, pas de cycles interminables. Un produit testé et déployé rapidement. Vous avez une idée ? Parlons-en. 

-- 

A first version of your product in 2 weeks — fast, reliable, and at a fixed price.
1. We break it down into 3 to 4 essential building blocks.
2. AI speeds up development
3. Our top developers build it strong and deploy it seamlessly.
No middlemen, no wasted time. A tested, deployed product, ready for the market. Got an idea? Let’s make it real.",Maxime Bournez,Software Development,,2,,,,,,,,,,2025-10-22,,
Chat3D,none.chat3d,https://www.linkedin.com/in/ACwAAC2qO_YBPS6JDIFWmFStHTkTBN4ha7kVAIc/,"Chat3D develops simple to use and quick 3D shape creation solutions for professionals.

Through AI, we bring the best software solution to provide an alternative to standard CAD solutions that quickly generates 3D shapes in an iterative way. This approach not only fosters innovation but also reduces the time taken for development and enhances overall efficiency of clients. 

Both engineering industrial clients and video games trust our solution to improve their operations and profitably navigate rapid shifts in business models and customer expectations.

For more information please visit chat3d.ai",YIYING YU,Software Development,,12,,,,,,,,,,2025-10-22,,
Fairanova,none.fairanova,https://www.linkedin.com/in/ACwAAA-yFkcBXwr6xuAwmg4_g4ax9rdlGhefQ5g/,"Fairanova est un groupe d'éditeurs métiers où chaque entité bénéficie d'une grande autonomie opérationnelle tout en bénéficiant du soutien d’une équipe d'experts à la disposition des dirigeants pour accélérer le développement de leur activité.

Si vous éditez un logiciel métier, nous serions ravis d'échanger sur votre développement et sur un potentiel rapprochement.

contact@fairanova.com",Baptiste Massé,Software Development,,3,,,,,,,,,,2025-10-22,,
Wise Twin,wisetwin.eu,https://www.linkedin.com/in/ACwAAAZos3kBvH6M9g48p3YRSKTy-vHJJ4vjH7k/,"Digital Twins for Industries
We develop tailor-made Digital Twins for your business in just 7 Days",Gauthier Delmarre,Software Development,,3,,,,,,,,,,2025-10-22,,
NativelyAI,https://nativelyai.com/,https://www.linkedin.com/in/ACwAAAAJTd0BcLpIKPvv64O7u8ipI8XNoJJuzxM/,"We Build the Future. AI-Natively. 
Reimagining what’s possible by empowering the world to build AI-native solutions faster, smarter, and more securely than ever before.

NativelyAI is a decentralized AI ecosystem that unites developers, enterprises, and compute providers to unlock innovation at scale. From bold startups to global enterprises, we help teams move from idea to impact in days, not months.

Our Technology Stack Powers Possibility.
We make AI-native development accessible, scalable, and secure through a unified, enterprise-ready platform:

AI Builder Platform - A structured path for building intelligent software with embedded AI knowledge systems

Data Platform - Federated, clean, and contextual data pipelines designed for real-time AI workflows

Foundation Model Hub - Access fine-tuned open and proprietary models for industry-grade performance

Compute Infrastructure - Tap into decentralized, hybrid compute access for unmatched flexibility and speed

Our Impact?
→ 3.5K+ AI-native products launched
→ 72h average from prototype to production
→ 10x faster development across industries

Empowering developers to build without limits using our modular AI tools and scalable compute resources. 

Enterprises to accelerate AI adoption through hackathons, innovation tracks, and secure deployment. 

Compute Providers to monetize idle capacity and fuel the AI-powered shared economy.
And more.

Whether it's solving complex industry challenges or scaling enterprise-wide transformation, NativelyAI is the launchpad for what’s next.

Because the future isn’t built with legacy tools.
It’s created natively. With AI at the core.
","Andrea Marazzi, PhD",Software Development,,8,,,,,,,,,,2025-10-22,,
BLOCKED,http://blocked.fr,https://www.linkedin.com/in/ACwAACySz30BsvrANwvkW1kP7k60QGdf7judL4Y/,"Blocked is a mobile app to capture and relive memories — later.
Creation of an iOS and Android application focused on time-locked photo & video sharing.
Leading the vision and direction of Blocked.
Responsible for the overall strategy, product identity, and positioning ahead of launch on iOS and Android.",Lucas Leroux,Software Development,,2,,,,,,,,,,2025-10-22,,
pylo,,https://www.linkedin.com/in/ACwAACHRakMBKJ-fcps-aPxsjnKKOkKyMC6rzyQ/,,Pierre-Louis JM.,Software Development,,,,,,,,,,,,2025-10-22,,
Simio,none.simio,https://www.linkedin.com/in/ACwAAC0mG6oBNOibng-wfGQVsJ1F-XfKOS3Q61k/,"Engagez une relation plus humaine avec vos clients et lancez des conversations WhatsApp à grande échelle, ouvertes à 96%. Boostez vos ventes, votre marketing et votre SAV via WhatsApp et fidélisez vos clients dans la durée.",Melina Taleb,Software Development,,12,,,,,,,,,,2025-10-22,,
Temelion,https://temelion.ai,https://www.linkedin.com/in/ACwAAADGla8Bb_BL1Y3K1tI14RsYBqv9p0yhCAA/,"Temelion takes the complexity out of all types of construction documents, helping building design engineers deliver high quality projects on budget.
",Rodolphe Héliot,Software Development,,5,,,,,,,,,,2025-10-22,,
hsbcad,http://www.hsbcad.com,https://www.linkedin.com/in/ACwAAAA2rGUBmErtrlUWspo45u1kBJ4jaw7RyEk/,"With 35+ years of industry experience, hsbcad is a global software solution provider for offsite construction. Its extensive software platform supports companies by facilitating computer-aided design (CAD), offsite manufacturing, onsite assembly, and compliance with the construction industry's rapidly emerging Building Information Modelling (BIM) standards. 

Headquartered in Ghent, Belgium, hsbcad's global team consists of 80+ people, spread throughout international subsidiaries in Germany, The Netherlands, The UK, The USA, Canada, Japan, Ecuador, and Australia.

For more information on hsbcad, visit www.hsbcad.com.",Hilde Sevens,Software Development,,88,,,,,,,,,,2025-10-22,,
Perplexity,https://www.perplexity.ai,https://www.linkedin.com/in/ACwAAAH6ZP4BAk9TCgO5mx_PnhhRDZtzqT2nvPY/,The most powerful answer engine. Powering curiosity with answers backed by up-to-date sources. This is where knowledge begins.,Alexandre Laing,Software Development,,1609,,,,,,,,,,2025-10-22,,
Evertrace (formerly Signal),https://www.evertrace.ai/,https://www.linkedin.com/in/ACwAADg9oNoBXa2rqKMxX7LV1gznmwGwVmFPgn0/,Evertrace is the leading AI-powered founder detection engine for VCs. We trace signals across the digital landscape to uncover emerging founders earlier than anyone else - helping investors discover tomorrow’s founders today.,Hervé Meyer-Olbersleben,Software Development,,16,,,,,,,,,,2025-10-22,,
candide x blue,,https://www.linkedin.com/in/ACwAAA8v9jwBRrPxB4idNc0xnbSoDvtOovP8jG0/,,Benoit Lecat,Software Development,,,,,,,,,,,,2025-10-22,,
Candide x Blue Impact,none.candidexblueimpact,https://www.linkedin.com/in/ACwAABHm-8MBIkySrvniLrx8-1VkP8VL1ezO4A4/,"Nous imaginons et créons des projets autour de l'Eau.

L'eau est un bien commun. 
L’eau est la 1ère ressource naturelle consommée au monde devant le sable et les graviers. 
L’eau est fragilisée par le dérèglement climatique, la surexploitation et les pollutions diffuses. 
L’eau est vitale.

L’eau est le défi du 21ème siècle...On veut en être ! ",Marie Andrieu,Software Development,,2,,,,,,,,,,2025-10-22,,
ouwba,none.ouwba,https://www.linkedin.com/in/ACwAAEB3EzkBV08nrlp7xs2wFX1CEm7uR7t-4L8/,"😌 Ferme les yeux et imagine …


C’est bon. Tu l’as fait. T’as créé ta boîte de Tech. Ça marche plutôt bien – congrats ! Et là, c’est Airbus en personne qui vient toquer à ta porte. Te propose LE contrat de ta life à 10M€.

👏🏽 Applaudissements d’émotion ! 🥹

MAIS. Avant de lui serrer la main et partir avec ton chèque en courant. Airbus va te demander si tu peux lui assurer que ton système informatique est conforme et sécurisé. Notamment si tu as une petite certification qu’on appelle ISO 27001.


Challenge accepté ! Tu cherches sur les internets. Faut passer par un consultant. L’ISO 27001 c’est :

⏳ 1 an et demi de ta vie

💸 40k€

🫠 et un charmant burn out.

Comment on peut attendre ça de nos startups qui ne roulent pas (encore) sur l’or et dont la ressource CRITIQUE est le temps ?


🚀 On crée donc LA solution clé en main qui va te permettre d’obtenir ta certification x5 plus vite, pour x3 moins cher.


🇪🇺 Notre rêve ? Permettre la collaboration startup x grand groupe afin de créer la réelle innovation en Europe.


Alors besoin d'un coup de pouce sur ton ISO, envoie-nous un petit message ;)",Baptiste DUBOC--FIORIN,Software Development,,4,,,,,,,,,,2025-10-22,,
Naviia,,https://www.linkedin.com/in/ACwAADYZnbEBvzycv1TrUa-6recT2GCU0I7IhLQ/,,Jean-Nicolas Colomb,Software Development,,,,,,,,,,,,2025-10-22,,
Atticus Conseil,,https://www.linkedin.com/in/ACwAAEDu3GYBhB582F3DrJsxcvVAe3M3J9cgii8/,,Leo Chen,Software Development,,,,,,,,,,,,2025-10-22,,
Arcad.co,https://www.arcad.co/,https://www.linkedin.com/in/ACwAAACyCaEBuprmmlQwuwaCW2365DKXkLMlpGk/,,Nicolas Martin,Software Development,,2,,,,,,,,,,2025-10-22,,
Jovyan AI,none.jovyanai,https://www.linkedin.com/in/ACwAAAbhVJcBkXYlkehPQIc6zSItyg-E0sHq6Jo/,Jovyan AI is an AI assistant for data science and machine learning.,Jonathan Tu NGUYEN,Software Development,,2,,,,,,,,,,2025-10-22,,
Zapdeck,https://zapdeck.ai/,https://www.linkedin.com/in/ACwAADPr2BwBlrY9veBcawGWKSqSPwchYlsK-a4/,With Zapdeck you create professional presentations in just a few minutes. Use our intuitive editor to write an outline and let our AI turn it into tailor-made slides that visualise your information in the best possible way.,Kanna-Linh Guillé,Software Development,,7,,,,,,,,,,2025-10-22,,
Consult,none.consult,https://www.linkedin.com/in/ACwAADjwIIEBtENRwSs74gdNmr31xZACF8Mw8G4/,"Face à la complexité des outils traditionnels et à la lourdeur des tâches administratives, la plateforme a été pensée pour apporter simplicité, clarté et performance. CRM spécialisé, gestion optimisée des rendez-vous, suivi des dossiers et mise en relation avec les clients : tout est réuni pour permettre aux avocats de gagner du temps et d’élargir leur clientèle.

Consult a pour ambition de devenir l’outil incontournable des avocats, en rendant leur quotidien plus fluide et leur développement plus efficace.",Mathieu Montilla,Software Development,,2,,,,,,,,,,2025-10-22,,
Vera Health,https://www.verahealth.ai,https://www.linkedin.com/in/ACwAADSC_tkBo3IFyheWkT0pGU4TBawNK3__SBY/,"Vera is the most powerful medical answer engine. Improve patient outcomes with clear, practical answers based on 60M+ peer-reviewed and up-to-date papers and guidelines.
",Guerlain Nerestan,Software Development,,19,,,,,,,,,,2025-10-22,,
Basta Gaming,https://www.bastagaming.com,https://www.linkedin.com/in/ACwAAAO9yE0BmTk0viDvXqLs6ikD-0m2IOU_eNA/,"In Italian, Basta means enough. At Basta Gaming, we believe it’s time to say enough to ordinary iGaming.

Part of Basta Holding, we are building a new kind of iGaming studio — combining knowledge and know-how from different industries to bring bold ideas, fresh energy, and a global perspective into B2B iGaming.

Our vision is simple: to create content that feels different, authentic, and built for what’s next. From slots to crash games and beyond, we aim to challenge conventions and deliver play that empowers our B2B partners while captivating players.

With teams across Europe, the US, and Asia, we are uniting diverse talent and experience to power this launch.

This is just the beginning. Basta Gaming is here to make its mark.",Marija Pasuljevic,Software Development,,1,,,,,,,,,,2025-10-22,,
Reemia,https://www.reemia.ai,https://www.linkedin.com/in/ACwAABhUQwABUCg7D580tVXFkk3qGrYBpSUjYIs/,"Chez Reemia, nous simplifions l’adoption de l’IA en proposant des solutions intuitives et adaptées à vos besoins.

Avec Orion, automatisez et optimisez vos flux documentaires pour tirer le meilleur parti de vos documents.

Avec Sirius, créez des agents conversationnels intelligents pour accompagner clients et équipes efficacement.",Quentin Boutoille-Blois,Software Development,,6,,,,,,,,,,2025-10-22,,
SEAGLE,none.seagle,https://www.linkedin.com/in/ACwAACUZE8YBsczoYhxhf5BMMZ0_FJDy2ze6bmM/,,Julien DRAC ☄️,Software Development,,0,,,,,,,,,,2025-10-22,,
Groupe Forza Co,none.groupeforzaco,https://www.linkedin.com/in/ACwAAAENVxQBGehaIicUbb2umKUwsakh6u5QUsU/,"Notre mission : faire de chaque projet que nous entreprenons une opportunité d’impact positif

Trois pôles pour agir :
- Le développement de projet à visée régénérative (actionnaire majoritaire)
- Le financement de projets à impact positif (actionnaire minoritaire)
- L’accompagnement d’entreprises vers des modèles robustes

Notre conviction :
- Les crises sont de plus en plus fréquentes (sanitaire, climatique, politique, …).
- Les entreprises pour être robustes, et donc se pérenniser malgré la multiplicité des chocs, doivent s’intégrer positivement dans leur écosystème - logique de territoire, impact sur le vivant (humain & environnement).

Pour y arriver, les entreprises doivent remettre en question leurs modèles d’affaires, se réinventer, définir une trajectoire nouvelle et impactante.
Cette aventure est une aventure collective, qui doit embarquer l’ensemble des parties prenantes (internes et externes) : les collaborateurs, les clients, les fournisseurs.

Notre objectif : Vous aider à vous réinventer, en bâtissant des modèles régénératifs, robustes et cohérents",Nicolas DENOS,Environmental Services,,2,,,,,,,,,,2025-10-17,,
SmartBack,http://www.smartback.io,https://www.linkedin.com/in/ACwAADN764MBe__kYN3EhIN1kYoliznygjT89ps/,"SmartBack a une mission : lutter contre le gaspillage et donner la meilleure seconde vie en local au mobilier et à la literie. 

SmartBack répond aux enjeux : 
- des e-commerçants qui ont des retours (SAV, réclamations, rétractations), reprises 1:1 (Loi AGEC), et des modèles d’expo ou shootings photos à faire reprendre chez des remettre en stock neuf
- des cafés, hôtels, restaurants, coliving, magasins qui ont du mobilier et de la literie à remplacer, à revaloriser.

SmartBack est LA solution tech et logistique de revalorisation de mobilier usagé pour les pro. Nous avons développé un process plus simple, plus économique, plus responsable en misant sur le local. 

Nous sommes expert en reverse logistique et nous garantissons la meilleure seconde vie possible à chaque meuble et matelas, via de la revente à des acteurs de l’occasion, du don à des associations et une solution clé en main de reconditionnement des produits. 

En chiffres : 

- +30 marques leaders du e-commerce qui confient à SmartBack la gestion de la seconde vie de leurs produits
- le plus grand maillage d’acteurs du réemploi en France : +de 750 partenaires de 2nde vie en France (magasins de seconde main et associations…)
- 1 atelier de reconditionnement en Ile de France
- 98% de produits réemployés, à 27km du particulier en moyenne

SmartBack agit et innove pour faire de l’économie circulaire un modèle possible, rentable et désirable.

 Pour en savoir plus, contactez nous à l’adresse : [contact@smartback.fr](https://www.smartback.io/#)

Nous sommes ouverts aux candidatures spontanées, n’hésitez pas !",Edouard Champault,Environmental Services,,10,,,,,,,,,,2025-10-22,,
Rainbow (formerly Riverse),https://rainbowstandard.io/,https://www.linkedin.com/in/ACwAADhIZ4MBxJDatlrFyUEcvy73VwoLkK9YkWo/,"Rainbow is an ICROA-endorsed carbon credit standard and registry.

We issue science-backed carbon credits that align with business strategies and climate commitments—ensuring every credit is both environmentally effective and commercially relevant.

Our team combines scientific rigour, operational insight, and real-world systems experience to bring clarity, confidence, and credibility to every project we certify.

Rainbow. 
Carbon Credits.
Engineered for business.",Lise Le Floch,Environmental Services,,33,,,,,,,,,,2025-10-22,,
Camellia,none.camellia,https://www.linkedin.com/in/ACwAABfkMywB_7GKwpgWLGBMdGfbMIcyTD2AzZ8/,,Pierre Gerbaud,Environmental Services,,2,,,,,,,,,,2025-10-22,,
LVL - Collecte des cartouches d'imprimante en vue de leur réemploi,,https://www.linkedin.com/in/ACwAAAcSpnkBD83H3IEzMGen3iIV-bhxXQETpmo/,,Florence Rouxel,Environmental Services,,,,,,,,,,,,2025-10-22,,
Bi'nergy Europe,,https://www.linkedin.com/in/ACwAAETxsjABNzs1P2K_AdBjNhOB3PAUTqWLXt4/,,Eric LECOQ,Environmental Services,,,,,,,,,,,,2025-10-22,,
hummingbirds,https://hummingbirds.eu/,https://www.linkedin.com/in/ACwAAABTG_YBYOXc2ZyhfGyT2keqQOWu5CC0euY/,"hummingbirds aims at taking immediate effective action to tackle climate change and biodiversity loss crisis through community driven nature conservation and restoration activities.

Our main areas of focus are :
- tropical forests
- agroforestry and regenerative agriculture
- wetlands, peatlands and coastal ecosystems
- Improved cooking solutions

We develop and finance carbon projects with local seasonned partners around the world.

Contact us if you want to hear more about our work !
hello@hummingbirds.eu

Like the hummingbird, let's all do our part !

",Guillaume Bouculat,Environmental Services,,34,,,,,,,,,,2025-10-22,,
Kito.Ko,none.kito.ko,https://www.linkedin.com/in/ACwAAD9qdpkB2lxtuP69W7Jibzco-sIDeuiJnp4/,Kito.Ko,Dorian Samuel Kabeya,Environmental Services,,0,,,,,,,,,,2025-10-22,,
Manoterra,,https://www.linkedin.com/in/ACwAAAzarUgBV5dVN79mjR8vhxZvwZdY6VLvL48/,,Géraldine Dujardin,Environmental Services,,,,,,,,,,,,2025-10-22,,
ZenkoLab,none.zenkolab,https://www.linkedin.com/in/ACwAAEp6rQsB7vyWQhXEMYvMXvhwVtEVxm5buyQ/,"Révolutionnons ensemble la télé-ophtalmologie.

ZenkoLab est une startup DeepTech incubée au 21st (CentraleSupélec), spécialisée dans l’IA multimodale appliquée à la santé visuelle.

Notre solution analyse les données d’imagerie médicale (OCT, fond d’œil, tension oculaire) pour classer les patients en risque faible, modéré ou élevé et orienter automatiquement vers la prise en charge adaptée.

🎯 Mission : accélérer le diagnostic précoce, réduire les délais d’accès aux soins et améliorer la santé visuelle à grande échelle.

💡 Domaines : IA en santé | Imagerie médicale | Télémédecine | Télé-ophtalmologie | Santé numérique | Medtech | Diagnostic assisté par IA.

📩 Contact : partenariats, collaborations R&D et investisseurs DeepTech bienvenus.",Léon Sibout,IT Services and IT Consulting,,2,,,,,,,,,,2025-10-20,,
